CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,VOCABULARY_ID,DOMAIN_ID,is_original_ingredient
1832042,0.5 ML dulaglutide 3 MG/ML Injectable Solution [Trulicity] Box of 4 by Orifarm,OMOP5157288,Marketed Product,RxNorm Extension,Drug,0
1832043,0.5 ML dulaglutide 3 MG/ML Injectable Solution [Trulicity] Box of 4 by Abacus Medicine,OMOP5157289,Marketed Product,RxNorm Extension,Drug,0
1970909,dulaglutide 6 MG/ML Prefilled Syringe,OMOP5163486,Clinical Drug,RxNorm Extension,Drug,0
1970910,dulaglutide 6 MG/ML Prefilled Syringe Box of 4,OMOP5163487,Clinical Drug Box,RxNorm Extension,Drug,0
1970911,dulaglutide 6 MG/ML Prefilled Syringe [Trulicity],OMOP5163488,Branded Drug,RxNorm Extension,Drug,0
1970912,dulaglutide 6 MG/ML Prefilled Syringe [Trulicity] Box of 4,OMOP5163489,Branded Drug Box,RxNorm Extension,Drug,0
1970913,dulaglutide 9 MG/ML Prefilled Syringe,OMOP5163490,Clinical Drug,RxNorm Extension,Drug,0
1970914,dulaglutide 9 MG/ML Prefilled Syringe Box of 4,OMOP5163491,Clinical Drug Box,RxNorm Extension,Drug,0
1970915,dulaglutide 9 MG/ML Prefilled Syringe [Trulicity],OMOP5163492,Branded Drug,RxNorm Extension,Drug,0
1970916,dulaglutide 9 MG/ML Prefilled Syringe [Trulicity] Box of 4,OMOP5163493,Branded Drug Box,RxNorm Extension,Drug,0
1972662,0.5 ML dulaglutide 6 MG/ML Prefilled Syringe,OMOP5165229,Quant Clinical Drug,RxNorm Extension,Drug,0
1972663,0.5 ML dulaglutide 6 MG/ML Prefilled Syringe Box of 4,OMOP5165230,Quant Clinical Box,RxNorm Extension,Drug,0
1972664,0.5 ML dulaglutide 6 MG/ML Prefilled Syringe [Trulicity],OMOP5165231,Quant Branded Drug,RxNorm Extension,Drug,0
1972665,0.5 ML dulaglutide 6 MG/ML Prefilled Syringe [Trulicity] Box of 4,OMOP5165232,Quant Branded Box,RxNorm Extension,Drug,0
1972666,0.5 ML dulaglutide 6 MG/ML Prefilled Syringe [Trulicity] Box of 4 by Lilly,OMOP5165233,Marketed Product,RxNorm Extension,Drug,0
1972667,0.5 ML dulaglutide 9 MG/ML Prefilled Syringe,OMOP5165234,Quant Clinical Drug,RxNorm Extension,Drug,0
1972668,0.5 ML dulaglutide 9 MG/ML Prefilled Syringe Box of 4,OMOP5165235,Quant Clinical Box,RxNorm Extension,Drug,0
1972669,0.5 ML dulaglutide 9 MG/ML Prefilled Syringe [Trulicity],OMOP5165236,Quant Branded Drug,RxNorm Extension,Drug,0
1972670,0.5 ML dulaglutide 9 MG/ML Prefilled Syringe [Trulicity] Box of 4,OMOP5165237,Quant Branded Box,RxNorm Extension,Drug,0
1972671,0.5 ML dulaglutide 9 MG/ML Prefilled Syringe [Trulicity] Box of 4 by Lilly,OMOP5165238,Marketed Product,RxNorm Extension,Drug,0
2902024,0.5 ML dulaglutide 3 MG/ML Injection [Trulicity] Box of 2,OMOP5118896,Quant Branded Box,RxNorm Extension,Drug,0
2902025,0.5 ML dulaglutide 3 MG/ML Injection Box of 2,OMOP5118897,Quant Clinical Box,RxNorm Extension,Drug,0
2902026,0.5 ML dulaglutide 3 MG/ML Pen Injector [Trulicity] Box of 4,OMOP5118898,Quant Branded Box,RxNorm Extension,Drug,0
2902027,0.5 ML dulaglutide 3 MG/ML Pen Injector [Trulicity] Box of 2,OMOP5118899,Quant Branded Box,RxNorm Extension,Drug,0
2902028,0.5 ML dulaglutide 3 MG/ML Pen Injector Box of 4,OMOP5118900,Quant Clinical Box,RxNorm Extension,Drug,0
2902029,0.5 ML dulaglutide 3 MG/ML Pen Injector Box of 2,OMOP5118901,Quant Clinical Box,RxNorm Extension,Drug,0
2926575,dulaglutide 3 MG/ML Injection [Trulicity] Box of 2,OMOP5143374,Branded Drug Box,RxNorm Extension,Drug,0
2926576,dulaglutide 3 MG/ML Injection Box of 2,OMOP5143375,Clinical Drug Box,RxNorm Extension,Drug,0
2926577,dulaglutide 3 MG/ML Pen Injector [Trulicity] Box of 4,OMOP5143376,Branded Drug Box,RxNorm Extension,Drug,0
2926579,dulaglutide 3 MG/ML Pen Injector [Trulicity] Box of 2,OMOP5143377,Branded Drug Box,RxNorm Extension,Drug,0
2926580,dulaglutide 3 MG/ML Pen Injector Box of 4,OMOP5143378,Clinical Drug Box,RxNorm Extension,Drug,0
2926581,dulaglutide 3 MG/ML Pen Injector Box of 2,OMOP5143379,Clinical Drug Box,RxNorm Extension,Drug,0
21041604,dulaglutide 1.5 MG/ML Prefilled Syringe Box of 4,OMOP343862,Clinical Drug Box,RxNorm Extension,Drug,0
21049370,0.5 ML dulaglutide 1.5 MG/ML Prefilled Syringe,OMOP286558,Quant Clinical Drug,RxNorm Extension,Drug,0
21061182,dulaglutide 3 MG/ML Prefilled Syringe Box of 4,OMOP343864,Clinical Drug Box,RxNorm Extension,Drug,0
21069050,0.5 ML dulaglutide 1.5 MG/ML Prefilled Syringe [Trulicity],OMOP286560,Quant Branded Drug,RxNorm Extension,Drug,0
21078825,0.5 ML dulaglutide 3 MG/ML Prefilled Syringe [Trulicity],OMOP286566,Quant Branded Drug,RxNorm Extension,Drug,0
21118000,0.5 ML dulaglutide 3 MG/ML Prefilled Syringe [Trulicity] by Lilly,OMOP286567,Marketed Product,RxNorm Extension,Drug,0
21127764,0.5 ML dulaglutide 1.5 MG/ML Prefilled Syringe [Trulicity] Box of 4,OMOP286562,Quant Branded Box,RxNorm Extension,Drug,0
21137643,0.5 ML dulaglutide 3 MG/ML Prefilled Syringe Box of 4,OMOP286565,Quant Clinical Box,RxNorm Extension,Drug,0
21139712,dulaglutide 3 MG/ML Prefilled Syringe [Trulicity] Box of 4,OMOP343866,Branded Drug Box,RxNorm Extension,Drug,0
21149564,dulaglutide 1.5 MG/ML Prefilled Syringe [Trulicity] Box of 4,OMOP343863,Branded Drug Box,RxNorm Extension,Drug,0
21157455,0.5 ML dulaglutide 1.5 MG/ML Prefilled Syringe [Trulicity] by Lilly,OMOP286561,Marketed Product,RxNorm Extension,Drug,0
21167204,0.5 ML dulaglutide 1.5 MG/ML Prefilled Syringe Box of 4,OMOP286559,Quant Clinical Box,RxNorm Extension,Drug,0
21167205,0.5 ML dulaglutide 3 MG/ML Prefilled Syringe,OMOP286564,Quant Clinical Drug,RxNorm Extension,Drug,0
21176994,0.5 ML dulaglutide 3 MG/ML Prefilled Syringe [Trulicity] Box of 4,OMOP286568,Quant Branded Box,RxNorm Extension,Drug,0
35409202,dulaglutide 3 MG/ML Prefilled Syringe [Trulicity],OMOP1142787,Branded Drug,RxNorm Extension,Drug,0
35409947,dulaglutide 1.5 MG/ML Prefilled Syringe [Trulicity],OMOP1143532,Branded Drug,RxNorm Extension,Drug,0
35412102,dulaglutide 3 MG/ML Prefilled Syringe,OMOP1145687,Clinical Drug,RxNorm Extension,Drug,0
