CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,VOCABULARY_ID,DOMAIN_ID,is_original_ingredient
793109,exenatide 2.35 MG/ML,1990864,Clinical Drug Comp,RxNorm,Drug,0
793110,exenatide Auto-Injector,1990865,Clinical Drug Form,RxNorm,Drug,0
793111,0.85 ML exenatide 2.35 MG/ML Auto-Injector,1990866,Quant Clinical Drug,RxNorm,Drug,0
793112,exenatide 2.35 MG/ML [Bydureon],1990867,Branded Drug Comp,RxNorm,Drug,0
793113,exenatide Auto-Injector [Bydureon],1990868,Branded Drug Form,RxNorm,Drug,0
793114,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],1990869,Quant Branded Drug,RxNorm,Drug,0
793115,exenatide 2.35 MG/ML Auto-Injector,1990870,Clinical Drug,RxNorm,Drug,0
793116,exenatide 2.35 MG/ML Auto-Injector [Bydureon],1990871,Branded Drug,RxNorm,Drug,0
994917,exenatide 2 MG Pen Injector,OMOP4821429,Clinical Drug,RxNorm Extension,Drug,0
994918,exenatide 2 MG Pen Injector [Bydureon],OMOP4821430,Branded Drug,RxNorm Extension,Drug,0
994919,exenatide 2 MG Pen Injector [Bydureon] by Kohlpharma,OMOP4821431,Marketed Product,RxNorm Extension,Drug,0
1583722,exenatide,60548,Ingredient,RxNorm,Drug,1
1583727,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],847913,Quant Branded Drug,RxNorm,Drug,0
1583728,exenatide 0.005 MG/ACTUAT,847914,Clinical Drug Comp,RxNorm,Drug,0
1583729,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector,847915,Quant Clinical Drug,RxNorm,Drug,0
1583730,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],847917,Quant Branded Drug,RxNorm,Drug,0
1971547,exenatide 2.35 MG/ML Auto-Injector Box of 4,OMOP5164120,Clinical Drug Box,RxNorm Extension,Drug,0
1971548,exenatide 2.35 MG/ML Auto-Injector Box of 12,OMOP5164121,Clinical Drug Box,RxNorm Extension,Drug,0
1971549,exenatide 2.35 MG/ML Auto-Injector [Bydureon] Box of 4,OMOP5164122,Branded Drug Box,RxNorm Extension,Drug,0
1971550,exenatide 2.35 MG/ML Auto-Injector [Bydureon] Box of 12,OMOP5164123,Branded Drug Box,RxNorm Extension,Drug,0
1971551,exenatide 2 MG Pen Injector Box of 4,OMOP5164124,Clinical Drug Box,RxNorm Extension,Drug,0
1971552,exenatide 2 MG Pen Injector [Bydureon] Box of 4,OMOP5164125,Branded Drug Box,RxNorm Extension,Drug,0
1972784,0.85 ML exenatide 2.35 MG/ML Auto-Injector Box of 4,OMOP5165350,Quant Clinical Box,RxNorm Extension,Drug,0
1972785,0.85 ML exenatide 2.35 MG/ML Auto-Injector Box of 12,OMOP5165351,Quant Clinical Box,RxNorm Extension,Drug,0
1972786,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon] Box of 4,OMOP5165352,Quant Branded Box,RxNorm Extension,Drug,0
