CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,VOCABULARY_ID,DOMAIN_ID,is_original_ingredient
782680,Insulin Glargine / Lixisenatide Injectable Solution [Suliqua],OMOP4830511,Branded Drug Form,RxNorm Extension,Drug,0
782681,Insulin Glargine / Lixisenatide Injectable Solution,OMOP4830512,Clinical Drug Form,RxNorm Extension,Drug,0
782682,Insulin Glargine 100 UNT/ML / Lixisenatide 0.033 MG/ML [Suliqua],OMOP4830513,Branded Drug Comp,RxNorm Extension,Drug,0
782683,Insulin Glargine 100 UNT/ML / Lixisenatide 0.033 MG/ML Injectable Solution [Suliqua],OMOP4830514,Branded Drug,RxNorm Extension,Drug,0
782684,Insulin Glargine 100 UNT/ML / Lixisenatide 0.033 MG/ML Injectable Solution [Suliqua] Box of 5,OMOP4830515,Branded Drug Box,RxNorm Extension,Drug,0
782685,Insulin Glargine 100 UNT/ML / Lixisenatide 0.033 MG/ML Injectable Solution,OMOP4830516,Clinical Drug,RxNorm Extension,Drug,0
782686,Insulin Glargine 100 UNT/ML / Lixisenatide 0.033 MG/ML Injectable Solution Box of 5,OMOP4830517,Clinical Drug Box,RxNorm Extension,Drug,0
782687,Insulin Glargine 100 UNT/ML / Lixisenatide 0.05 MG/ML [Suliqua],OMOP4830518,Branded Drug Comp,RxNorm Extension,Drug,0
782688,Insulin Glargine 100 UNT/ML / Lixisenatide 0.05 MG/ML Injectable Solution [Suliqua],OMOP4830519,Branded Drug,RxNorm Extension,Drug,0
782689,Insulin Glargine 100 UNT/ML / Lixisenatide 0.05 MG/ML Injectable Solution [Suliqua] Box of 5,OMOP4830520,Branded Drug Box,RxNorm Extension,Drug,0
782690,Insulin Glargine 100 UNT/ML / Lixisenatide 0.05 MG/ML Injectable Solution,OMOP4830521,Clinical Drug,RxNorm Extension,Drug,0
782691,Insulin Glargine 100 UNT/ML / Lixisenatide 0.05 MG/ML Injectable Solution Box of 5,OMOP4830522,Clinical Drug Box,RxNorm Extension,Drug,0
784290,3 ML Insulin Glargine 100 UNT/ML / Lixisenatide 0.033 MG/ML Injectable Solution [Suliqua],OMOP4832112,Quant Branded Drug,RxNorm Extension,Drug,0
784291,3 ML Insulin Glargine 100 UNT/ML / Lixisenatide 0.033 MG/ML Injectable Solution [Suliqua] Box of 5,OMOP4832113,Quant Branded Box,RxNorm Extension,Drug,0
784292,3 ML Insulin Glargine 100 UNT/ML / Lixisenatide 0.033 MG/ML Injectable Solution [Suliqua] Box of 5 by Sanofi,OMOP4832114,Marketed Product,RxNorm Extension,Drug,0
784293,3 ML Insulin Glargine 100 UNT/ML / Lixisenatide 0.033 MG/ML Injectable Solution,OMOP4832115,Quant Clinical Drug,RxNorm Extension,Drug,0
784294,3 ML Insulin Glargine 100 UNT/ML / Lixisenatide 0.033 MG/ML Injectable Solution Box of 5,OMOP4832116,Quant Clinical Box,RxNorm Extension,Drug,0
784295,3 ML Insulin Glargine 100 UNT/ML / Lixisenatide 0.05 MG/ML Injectable Solution [Suliqua],OMOP4832117,Quant Branded Drug,RxNorm Extension,Drug,0
784296,3 ML Insulin Glargine 100 UNT/ML / Lixisenatide 0.05 MG/ML Injectable Solution [Suliqua] Box of 5,OMOP4832118,Quant Branded Box,RxNorm Extension,Drug,0
784297,3 ML Insulin Glargine 100 UNT/ML / Lixisenatide 0.05 MG/ML Injectable Solution [Suliqua] Box of 5 by Sanofi,OMOP4832119,Marketed Product,RxNorm Extension,Drug,0
784298,3 ML Insulin Glargine 100 UNT/ML / Lixisenatide 0.05 MG/ML Injectable Solution,OMOP4832120,Quant Clinical Drug,RxNorm Extension,Drug,0
784299,3 ML Insulin Glargine 100 UNT/ML / Lixisenatide 0.05 MG/ML Injectable Solution Box of 5,OMOP4832121,Quant Clinical Box,RxNorm Extension,Drug,0
1718596,lixisenatide 0.033 MG/ML,1858991,Clinical Drug Comp,RxNorm,Drug,0
1718597,insulin glargine / lixisenatide Injectable Product,1858992,Clinical Dose Group,RxNorm,Drug,0
1718598,insulin glargine / lixisenatide Pen Injector,1858993,Clinical Drug Form,RxNorm,Drug,0
1718599,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector,1858995,Quant Clinical Drug,RxNorm,Drug,0
1718601,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML [Soliqua],1858997,Branded Drug Comp,RxNorm,Drug,0
1718602,insulin glargine / lixisenatide Pen Injector [Soliqua],1858998,Branded Drug Form,RxNorm,Drug,0
1718603,Soliqua Injectable Product,1858999,Branded Dose Group,RxNorm,Drug,0
1718604,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],1859000,Quant Branded Drug,RxNorm,Drug,0
1718605,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector,1859001,Clinical Drug,RxNorm,Drug,0
1718606,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],1859002,Branded Drug,RxNorm,Drug,0
2028910,3 ML lixisenatide 0.1 MG/ML Pen Injector [Lyxumia] by Sanofi,OMOP4927656,Marketed Product,RxNorm Extension,Drug,0
2028911,3 ML lixisenatide 0.05 MG/ML Pen Injector [Lyxumia] by Sanofi,OMOP4927657,Marketed Product,RxNorm Extension,Drug,0
2901691,0.2 ML lixisenatide 0.1 MG/ML Injection [Lyxumia] Box of 14,OMOP5118574,Quant Branded Box,RxNorm Extension,Drug,0
2901692,0.2 ML lixisenatide 0.1 MG/ML Injection [Lyxumia] Box of 2,OMOP5118575,Quant Branded Box,RxNorm Extension,Drug,0
2901693,0.2 ML lixisenatide 0.1 MG/ML Injection [Lyxumia],OMOP5118576,Quant Branded Drug,RxNorm Extension,Drug,0
2901694,0.2 ML lixisenatide 0.1 MG/ML Injection Box of 14,OMOP5118577,Quant Clinical Box,RxNorm Extension,Drug,0
2901695,0.2 ML lixisenatide 0.1 MG/ML Injection Box of 2,OMOP5118578,Quant Clinical Box,RxNorm Extension,Drug,0
2901696,0.2 ML lixisenatide 0.1 MG/ML Injection,OMOP5118579,Quant Clinical Drug,RxNorm Extension,Drug,0
2901697,0.2 ML lixisenatide 0.1 MG/ML Pen Injector [Lyxumia] Box of 6,OMOP5118580,Quant Branded Box,RxNorm Extension,Drug,0
2901698,0.2 ML lixisenatide 0.1 MG/ML Pen Injector [Lyxumia] Box of 2,OMOP5118581,Quant Branded Box,RxNorm Extension,Drug,0
2901699,0.2 ML lixisenatide 0.1 MG/ML Pen Injector [Lyxumia],OMOP5118582,Quant Branded Drug,RxNorm Extension,Drug,0
2901700,0.2 ML lixisenatide 0.1 MG/ML Pen Injector Box of 6,OMOP5118583,Quant Clinical Box,RxNorm Extension,Drug,0
2901701,0.2 ML lixisenatide 0.1 MG/ML Pen Injector Box of 2,OMOP5118584,Quant Clinical Box,RxNorm Extension,Drug,0
2901702,0.2 ML lixisenatide 0.1 MG/ML Pen Injector,OMOP5118585,Quant Clinical Drug,RxNorm Extension,Drug,0
2901703,0.2 ML lixisenatide 0.1 MG/ML Injectable Solution Box of 14,OMOP5118586,Quant Clinical Box,RxNorm Extension,Drug,0
2901704,0.2 ML lixisenatide 0.05 MG/ML Injection [Lyxumia] Box of 14,OMOP5118587,Quant Branded Box,RxNorm Extension,Drug,0
2901705,0.2 ML lixisenatide 0.05 MG/ML Injection [Lyxumia],OMOP5118588,Quant Branded Drug,RxNorm Extension,Drug,0
2901706,0.2 ML lixisenatide 0.05 MG/ML Injection Box of 14,OMOP5118589,Quant Clinical Box,RxNorm Extension,Drug,0
2901707,0.2 ML lixisenatide 0.05 MG/ML Injection,OMOP5118590,Quant Clinical Drug,RxNorm Extension,Drug,0
2901708,0.2 ML lixisenatide 0.05 MG/ML Pen Injector [Lyxumia],OMOP5118591,Quant Branded Drug,RxNorm Extension,Drug,0
2901709,0.2 ML lixisenatide 0.05 MG/ML Pen Injector,OMOP5118592,Quant Clinical Drug,RxNorm Extension,Drug,0
2901710,0.2 ML lixisenatide 0.05 MG/ML Injectable Solution Box of 14,OMOP5118593,Quant Clinical Box,RxNorm Extension,Drug,0
2906625,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.05 MG/ML Pen Injector [Soliqua] Box of 5,OMOP5123399,Quant Branded Box,RxNorm Extension,Drug,0
2906626,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.05 MG/ML Pen Injector [Soliqua] Box of 3,OMOP5123400,Quant Branded Box,RxNorm Extension,Drug,0
2906627,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.05 MG/ML Pen Injector Box of 5,OMOP5123401,Quant Clinical Box,RxNorm Extension,Drug,0
2906628,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.05 MG/ML Pen Injector Box of 3,OMOP5123402,Quant Clinical Box,RxNorm Extension,Drug,0
2906629,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua] Box of 5,OMOP5123403,Quant Branded Box,RxNorm Extension,Drug,0
2906630,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua] Box of 3,OMOP5123404,Quant Branded Box,RxNorm Extension,Drug,0
2906631,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector Box of 5,OMOP5123405,Quant Clinical Box,RxNorm Extension,Drug,0
2906632,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector Box of 3,OMOP5123406,Quant Clinical Box,RxNorm Extension,Drug,0
2927669,insulin glargine 100 UNT/ML / lixisenatide 0.05 MG/ML Pen Injector [Soliqua] Box of 5,OMOP5144473,Branded Drug Box,RxNorm Extension,Drug,0
2927670,insulin glargine 100 UNT/ML / lixisenatide 0.05 MG/ML Pen Injector [Soliqua] Box of 3,OMOP5144474,Branded Drug Box,RxNorm Extension,Drug,0
2927671,insulin glargine 100 UNT/ML / lixisenatide 0.05 MG/ML Pen Injector Box of 5,OMOP5144475,Clinical Drug Box,RxNorm Extension,Drug,0
2927672,insulin glargine 100 UNT/ML / lixisenatide 0.05 MG/ML Pen Injector Box of 3,OMOP5144476,Clinical Drug Box,RxNorm Extension,Drug,0
2927673,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua] Box of 5,OMOP5144477,Branded Drug Box,RxNorm Extension,Drug,0
2927674,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua] Box of 3,OMOP5144478,Branded Drug Box,RxNorm Extension,Drug,0
2927675,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector Box of 5,OMOP5144479,Clinical Drug Box,RxNorm Extension,Drug,0
2927676,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector Box of 3,OMOP5144480,Clinical Drug Box,RxNorm Extension,Drug,0
2927677,lixisenatide 0.1 MG/ML Injection [Lyxumia] Box of 14,OMOP5144481,Branded Drug Box,RxNorm Extension,Drug,0
2927678,lixisenatide 0.1 MG/ML Injection [Lyxumia] Box of 2,OMOP5144482,Branded Drug Box,RxNorm Extension,Drug,0
2927679,lixisenatide 0.1 MG/ML Injection [Lyxumia],OMOP5144483,Branded Drug,RxNorm Extension,Drug,0
2927680,lixisenatide 0.1 MG/ML Injection Box of 14,OMOP5144484,Clinical Drug Box,RxNorm Extension,Drug,0
2927681,lixisenatide 0.1 MG/ML Injection Box of 2,OMOP5144485,Clinical Drug Box,RxNorm Extension,Drug,0
2927682,lixisenatide 0.1 MG/ML Injection,OMOP5144486,Clinical Drug,RxNorm Extension,Drug,0
2927683,lixisenatide 0.1 MG/ML Pen Injector [Lyxumia] Box of 6,OMOP5144487,Branded Drug Box,RxNorm Extension,Drug,0
2927684,lixisenatide 0.1 MG/ML Pen Injector [Lyxumia] Box of 2,OMOP5144488,Branded Drug Box,RxNorm Extension,Drug,0
2927685,lixisenatide 0.1 MG/ML Pen Injector Box of 6,OMOP5144489,Clinical Drug Box,RxNorm Extension,Drug,0
2927686,lixisenatide 0.1 MG/ML Pen Injector Box of 2,OMOP5144490,Clinical Drug Box,RxNorm Extension,Drug,0
2927687,lixisenatide 0.1 MG/ML Injectable Solution Box of 14,OMOP5144491,Clinical Drug Box,RxNorm Extension,Drug,0
2927688,lixisenatide 0.05 MG/ML Injection [Lyxumia] Box of 14,OMOP5144492,Branded Drug Box,RxNorm Extension,Drug,0
2927689,lixisenatide 0.05 MG/ML Injection [Lyxumia],OMOP5144493,Branded Drug,RxNorm Extension,Drug,0
2927690,lixisenatide 0.05 MG/ML Injection Box of 14,OMOP5144494,Clinical Drug Box,RxNorm Extension,Drug,0
2927691,lixisenatide 0.05 MG/ML Injection,OMOP5144495,Clinical Drug,RxNorm Extension,Drug,0
2927692,lixisenatide 0.05 MG/ML Injectable Solution Box of 14,OMOP5144496,Clinical Drug Box,RxNorm Extension,Drug,0
2937977,{14 (0.2 ML lixisenatide 0.05 MG/ML Injection) / 14 (0.2 ML lixisenatide 0.1 MG/ML Injection) } Pack [Lyxumia],OMOP5154706,Branded Pack,RxNorm Extension,Drug,0
2938037,{14 (0.2 ML lixisenatide 0.05 MG/ML Injection) / 14 (0.2 ML lixisenatide 0.1 MG/ML Injection) } Pack,OMOP5154707,Clinical Pack,RxNorm Extension,Drug,0
2938038,{14 (0.2 ML lixisenatide 0.05 MG/ML Injection) / 14 (0.2 ML Lixisenatide 0.1 MG/ML Injectable Solution) } Pack,OMOP5154708,Clinical Pack,RxNorm Extension,Drug,0
2938137,{1 (0.2 ML lixisenatide 0.05 MG/ML Pen Injector) / 1 (0.2 ML lixisenatide 0.1 MG/ML Pen Injector) } Pack [Lyxumia],OMOP5154809,Branded Pack,RxNorm Extension,Drug,0
2938138,{1 (0.2 ML lixisenatide 0.05 MG/ML Pen Injector) / 1 (0.2 ML lixisenatide 0.1 MG/ML Pen Injector) } Pack,OMOP5154810,Clinical Pack,RxNorm Extension,Drug,0
21029637,0.2 ML Lixisenatide 0.1 MG/ML Prefilled Syringe Box of 1,OMOP285551,Quant Clinical Box,RxNorm Extension,Drug,0
21029638,0.2 ML Lixisenatide 0.1 MG/ML Prefilled Syringe [Lyxumia] Box of 2,OMOP285558,Quant Branded Box,RxNorm Extension,Drug,0
21049318,0.2 ML Lixisenatide 0.05 MG/ML Prefilled Syringe,OMOP285542,Quant Clinical Drug,RxNorm Extension,Drug,0
21056741,Lixisenatide 0.1 MG/ML [Lyxumia],OMOP275497,Branded Drug Comp,RxNorm Extension,Drug,0
21076494,Lixisenatide 0.05 MG/ML Prefilled Syringe [Lyxumia] Box of 1,OMOP275496,Branded Drug Box,RxNorm Extension,Drug,0
21086223,Lixisenatide 0.1 MG/ML Prefilled Syringe [Lyxumia],OMOP275500,Branded Drug,RxNorm Extension,Drug,0
21088503,0.2 ML Lixisenatide 0.05 MG/ML Prefilled Syringe [Lyxumia] by Sanofi,OMOP285547,Marketed Product,RxNorm Extension,Drug,0
21088504,0.2 ML Lixisenatide 0.1 MG/ML Prefilled Syringe [Lyxumia] Box of 2 by Sanofi,OMOP285559,Marketed Product,RxNorm Extension,Drug,0
21098380,0.2 ML Lixisenatide 0.05 MG/ML Prefilled Syringe Box of 1,OMOP285543,Quant Clinical Box,RxNorm Extension,Drug,0
21098381,0.2 ML Lixisenatide 0.1 MG/ML Prefilled Syringe [Lyxumia] Box of 1,OMOP285555,Quant Branded Box,RxNorm Extension,Drug,0
21125304,Lixisenatide 0.1 MG/ML Prefilled Syringe Box of 1,OMOP275498,Clinical Drug Box,RxNorm Extension,Drug,0
