CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,VOCABULARY_ID,DOMAIN_ID,is_original_ingredient
741831,semaglutide 0.68 MG/ML,2619151,Clinical Drug Comp,RxNorm,Drug,0
741832,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector",2619152,Clinical Drug,RxNorm,Drug,0
741833,semaglutide 0.68 MG/ML [Ozempic],2619153,Branded Drug Comp,RxNorm,Drug,0
741834,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",2619154,Branded Drug,RxNorm,Drug,0
779478,semaglutide 2.68 MG/ML,2599361,Clinical Drug Comp,RxNorm,Drug,0
779479,semaglutide 2.68 MG/ML Pen Injector,2599363,Clinical Drug,RxNorm,Drug,0
779480,semaglutide 2.68 MG/ML [Ozempic],2599364,Branded Drug Comp,RxNorm,Drug,0
779481,semaglutide 2.68 MG/ML Pen Injector [Ozempic],2599366,Branded Drug,RxNorm,Drug,0
780248,3 ML semaglutide 2.68 MG/ML Pen Injector,2599362,Quant Clinical Drug,RxNorm,Drug,0
780249,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],2599365,Quant Branded Drug,RxNorm,Drug,0
793143,semaglutide,1991302,Ingredient,RxNorm,Drug,1
793144,semaglutide 1.34 MG/ML,1991303,Clinical Drug Comp,RxNorm,Drug,0
793145,semaglutide Injectable Product,1991304,Clinical Dose Group,RxNorm,Drug,0
793146,semaglutide Pen Injector,1991305,Clinical Drug Form,RxNorm,Drug,0
793147,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector",1991306,Clinical Drug,RxNorm,Drug,0
793149,semaglutide 1.34 MG/ML [Ozempic],1991308,Branded Drug Comp,RxNorm,Drug,0
793150,semaglutide Pen Injector [Ozempic],1991309,Branded Drug Form,RxNorm,Drug,0
793151,Ozempic Injectable Product,1991310,Branded Dose Group,RxNorm,Drug,0
793152,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",1991311,Branded Drug,RxNorm,Drug,0
793153,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,1991316,Clinical Drug,RxNorm,Drug,0
793154,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],1991317,Branded Drug,RxNorm,Drug,0
994760,semaglutide Injectable Solution,OMOP4821274,Clinical Drug Form,RxNorm Extension,Drug,0
994761,semaglutide Injectable Solution [Ozempic],OMOP4821275,Branded Drug Form,RxNorm Extension,Drug,0
994762,semaglutide 0.333 MG/ML,OMOP4821276,Clinical Drug Comp,RxNorm Extension,Drug,0
994763,semaglutide 0.333 MG/ML [Ozempic],OMOP4821277,Branded Drug Comp,RxNorm Extension,Drug,0
994764,semaglutide 0.333 MG/ML Injectable Solution,OMOP4821278,Clinical Drug,RxNorm Extension,Drug,0
994765,semaglutide 0.333 MG/ML Injectable Solution [Ozempic],OMOP4821279,Branded Drug,RxNorm Extension,Drug,0
995313,1.5 ML semaglutide 0.333 MG/ML Injectable Solution,OMOP4821820,Quant Clinical Drug,RxNorm Extension,Drug,0
995314,1.5 ML semaglutide 0.333 MG/ML Injectable Solution [Ozempic],OMOP4821821,Quant Branded Drug,RxNorm Extension,Drug,0
995315,1.5 ML semaglutide 0.333 MG/ML Injectable Solution [Ozempic] by Novo Nordisk,OMOP4821822,Marketed Product,RxNorm Extension,Drug,0
1537020,semaglutide 0.5 MG/ML,2553400,Clinical Drug Comp,RxNorm,Drug,0
1537021,semaglutide Auto-Injector,2553500,Clinical Drug Form,RxNorm,Drug,0
1537023,semaglutide 0.5 MG/ML [Wegovy],2553503,Branded Drug Comp,RxNorm,Drug,0
1537024,semaglutide Auto-Injector [Wegovy],2553504,Branded Drug Form,RxNorm,Drug,0
1537025,Wegovy Injectable Product,2553505,Branded Dose Group,RxNorm,Drug,0
1537026,semaglutide 0.5 MG/ML Auto-Injector,2553507,Clinical Drug,RxNorm,Drug,0
1537027,semaglutide 0.5 MG/ML Auto-Injector [Wegovy],2553508,Branded Drug,RxNorm,Drug,0
1537028,semaglutide 1 MG/ML,2553600,Clinical Drug Comp,RxNorm,Drug,0
1537029,semaglutide 1 MG/ML [Wegovy],2553602,Branded Drug Comp,RxNorm,Drug,0
1537030,semaglutide 1 MG/ML Auto-Injector,2553604,Clinical Drug,RxNorm,Drug,0
1537031,semaglutide 1 MG/ML Auto-Injector [Wegovy],2553605,Branded Drug,RxNorm,Drug,0
1537032,semaglutide 2 MG/ML,2553606,Clinical Drug Comp,RxNorm,Drug,0
1537033,semaglutide 2 MG/ML Auto-Injector,2553607,Clinical Drug,RxNorm,Drug,0
1537034,semaglutide 2 MG/ML [Wegovy],2553608,Branded Drug Comp,RxNorm,Drug,0
1537035,semaglutide 2 MG/ML Auto-Injector [Wegovy],2553700,Branded Drug,RxNorm,Drug,0
1537036,semaglutide 2.27 MG/ML,2553900,Clinical Drug Comp,RxNorm,Drug,0
1537037,semaglutide 2.27 MG/ML [Wegovy],2553902,Branded Drug Comp,RxNorm,Drug,0
1537038,semaglutide 2.27 MG/ML Auto-Injector,2553904,Clinical Drug,RxNorm,Drug,0
1537039,semaglutide 2.27 MG/ML Auto-Injector [Wegovy],2553905,Branded Drug,RxNorm,Drug,0
1537040,semaglutide 3.2 MG/ML,2554101,Clinical Drug Comp,RxNorm,Drug,0
1537041,semaglutide 3.2 MG/ML [Wegovy],2554103,Branded Drug Comp,RxNorm,Drug,0
1537042,semaglutide 3.2 MG/ML Auto-Injector,2554105,Clinical Drug,RxNorm,Drug,0
1537043,semaglutide 3.2 MG/ML Auto-Injector [Wegovy],2554106,Branded Drug,RxNorm,Drug,0
