CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,VOCABULARY_ID,DOMAIN_ID,is_original_ingredient
746313,tirzepatide Injection,2644395,Clinical Drug Form,RxNorm,Drug,0
746314,tirzepatide 15 MG/ML Injection,2644397,Clinical Drug,RxNorm,Drug,0
746315,tirzepatide Injection [Mounjaro],2644398,Branded Drug Form,RxNorm,Drug,0
746316,tirzepatide 15 MG/ML Injection [Mounjaro],2644400,Branded Drug,RxNorm,Drug,0
746317,tirzepatide 10 MG/ML Injection,2644402,Clinical Drug,RxNorm,Drug,0
746318,tirzepatide 10 MG/ML Injection [Mounjaro],2644404,Branded Drug,RxNorm,Drug,0
746319,tirzepatide 5 MG/ML Injection,2644406,Clinical Drug,RxNorm,Drug,0
746320,tirzepatide 5 MG/ML Injection [Mounjaro],2644408,Branded Drug,RxNorm,Drug,0
746321,tirzepatide 30 MG/ML Injection,2644410,Clinical Drug,RxNorm,Drug,0
746322,tirzepatide 30 MG/ML Injection [Mounjaro],2644412,Branded Drug,RxNorm,Drug,0
746323,tirzepatide 25 MG/ML Injection,2644414,Clinical Drug,RxNorm,Drug,0
746324,tirzepatide 25 MG/ML Injection [Mounjaro],2644416,Branded Drug,RxNorm,Drug,0
746325,tirzepatide 20 MG/ML Injection,2644418,Clinical Drug,RxNorm,Drug,0
746326,tirzepatide 20 MG/ML Injection [Mounjaro],2644420,Branded Drug,RxNorm,Drug,0
747139,tirzepatide 5 MG/ML [Zepbound],2669703,Branded Drug Comp,RxNorm,Drug,0
747140,Zepbound Injectable Product,2669704,Branded Dose Group,RxNorm,Drug,0
747141,tirzepatide Auto-Injector [Zepbound],2669705,Branded Drug Form,RxNorm,Drug,0
747142,tirzepatide 5 MG/ML Auto-Injector [Zepbound],2669707,Branded Drug,RxNorm,Drug,0
747143,tirzepatide 10 MG/ML [Zepbound],2669708,Branded Drug Comp,RxNorm,Drug,0
747144,tirzepatide 10 MG/ML Auto-Injector [Zepbound],2669710,Branded Drug,RxNorm,Drug,0
747145,tirzepatide 15 MG/ML [Zepbound],2669711,Branded Drug Comp,RxNorm,Drug,0
747146,tirzepatide 15 MG/ML Auto-Injector [Zepbound],2669713,Branded Drug,RxNorm,Drug,0
747147,tirzepatide 20 MG/ML [Zepbound],2669714,Branded Drug Comp,RxNorm,Drug,0
747148,tirzepatide 20 MG/ML Auto-Injector [Zepbound],2669716,Branded Drug,RxNorm,Drug,0
747149,tirzepatide 25 MG/ML [Zepbound],2669717,Branded Drug Comp,RxNorm,Drug,0
747150,tirzepatide 25 MG/ML Auto-Injector [Zepbound],2669719,Branded Drug,RxNorm,Drug,0
747151,tirzepatide 30 MG/ML [Zepbound],2669720,Branded Drug Comp,RxNorm,Drug,0
747152,tirzepatide 30 MG/ML Auto-Injector [Zepbound],2669722,Branded Drug,RxNorm,Drug,0
747773,0.5 ML tirzepatide 15 MG/ML Injection,2644396,Quant Clinical Drug,RxNorm,Drug,0
747774,0.5 ML tirzepatide 15 MG/ML Injection [Mounjaro],2644399,Quant Branded Drug,RxNorm,Drug,0
747775,0.5 ML tirzepatide 10 MG/ML Injection,2644401,Quant Clinical Drug,RxNorm,Drug,0
747776,0.5 ML tirzepatide 10 MG/ML Injection [Mounjaro],2644403,Quant Branded Drug,RxNorm,Drug,0
747777,0.5 ML tirzepatide 5 MG/ML Injection,2644405,Quant Clinical Drug,RxNorm,Drug,0
747778,0.5 ML tirzepatide 5 MG/ML Injection [Mounjaro],2644407,Quant Branded Drug,RxNorm,Drug,0
747779,0.5 ML tirzepatide 30 MG/ML Injection,2644409,Quant Clinical Drug,RxNorm,Drug,0
747780,0.5 ML tirzepatide 30 MG/ML Injection [Mounjaro],2644411,Quant Branded Drug,RxNorm,Drug,0
747781,0.5 ML tirzepatide 25 MG/ML Injection,2644413,Quant Clinical Drug,RxNorm,Drug,0
747782,0.5 ML tirzepatide 25 MG/ML Injection [Mounjaro],2644415,Quant Branded Drug,RxNorm,Drug,0
747783,0.5 ML tirzepatide 20 MG/ML Injection,2644417,Quant Clinical Drug,RxNorm,Drug,0
747784,0.5 ML tirzepatide 20 MG/ML Injection [Mounjaro],2644419,Quant Branded Drug,RxNorm,Drug,0
747888,0.5 ML tirzepatide 5 MG/ML Auto-Injector [Zepbound],2669706,Quant Branded Drug,RxNorm,Drug,0
747889,0.5 ML tirzepatide 10 MG/ML Auto-Injector [Zepbound],2669709,Quant Branded Drug,RxNorm,Drug,0
747890,0.5 ML tirzepatide 15 MG/ML Auto-Injector [Zepbound],2669712,Quant Branded Drug,RxNorm,Drug,0
747891,0.5 ML tirzepatide 20 MG/ML Auto-Injector [Zepbound],2669715,Quant Branded Drug,RxNorm,Drug,0
747892,0.5 ML tirzepatide 25 MG/ML Auto-Injector [Zepbound],2669718,Quant Branded Drug,RxNorm,Drug,0
747893,0.5 ML tirzepatide 30 MG/ML Auto-Injector [Zepbound],2669721,Quant Branded Drug,RxNorm,Drug,0
779705,tirzepatide,2601723,Ingredient,RxNorm,Drug,1
779710,tirzepatide Injectable Product,2601730,Clinical Dose Group,RxNorm,Drug,0
779711,tirzepatide Auto-Injector,2601731,Clinical Drug Form,RxNorm,Drug,0
779713,Mounjaro Injectable Product,2601736,Branded Dose Group,RxNorm,Drug,0
779714,tirzepatide Auto-Injector [Mounjaro],2601737,Branded Drug Form,RxNorm,Drug,0
779717,tirzepatide 10 MG/ML,2601742,Clinical Drug Comp,RxNorm,Drug,0
779718,tirzepatide 10 MG/ML Auto-Injector,2601744,Clinical Drug,RxNorm,Drug,0
779719,tirzepatide 10 MG/ML [Mounjaro],2601745,Branded Drug Comp,RxNorm,Drug,0
779720,tirzepatide 10 MG/ML Auto-Injector [Mounjaro],2601747,Branded Drug,RxNorm,Drug,0
