CONCEPT_ID,CONCEPT_NAME,CONCEPT_CODE,CONCEPT_CLASS_ID,VOCABULARY_ID,DOMAIN_ID,is_original_ingredient
1718703,liraglutide 3.6 MG/ML,1860164,Clinical Drug Comp,RxNorm,Drug,0
1718704,insulin degludec / liraglutide Injectable Product,1860165,Clinical Dose Group,RxNorm,Drug,0
1718705,insulin degludec / liraglutide Pen Injector,1860166,Clinical Drug Form,RxNorm,Drug,0
1718706,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector,1860167,Quant Clinical Drug,RxNorm,Drug,0
1718708,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML [Xultophy],1860169,Branded Drug Comp,RxNorm,Drug,0
1718709,insulin degludec / liraglutide Pen Injector [Xultophy],1860170,Branded Drug Form,RxNorm,Drug,0
1718710,Xultophy Injectable Product,1860171,Branded Dose Group,RxNorm,Drug,0
1718711,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],1860172,Quant Branded Drug,RxNorm,Drug,0
1718712,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector,1860173,Clinical Drug,RxNorm,Drug,0
1718713,insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],1860174,Branded Drug,RxNorm,Drug,0
1832313,3 ML liraglutide 6 MG/ML Injectable Solution [Saxenda] Box of 5 by Abacus Medicine,OMOP5157554,Marketed Product,RxNorm Extension,Drug,0
1972984,3 ML liraglutide 6 MG/ML Injectable Solution [Saxenda] Box of 3 by Eurim-Pharm,OMOP5165545,Marketed Product,RxNorm Extension,Drug,0
1972985,3 ML liraglutide 6 MG/ML Injectable Solution [Saxenda] Box of 5 by Eurim-Pharm,OMOP5165546,Marketed Product,RxNorm Extension,Drug,0
1972986,3 ML liraglutide 6 MG/ML Injectable Solution [Saxenda] Box of 5 by Kohlpharma,OMOP5165547,Marketed Product,RxNorm Extension,Drug,0
2906405,3 ML liraglutide 6 MG/ML Cartridge [Victoza],OMOP5123185,Quant Branded Drug,RxNorm Extension,Drug,0
2906406,3 ML liraglutide 6 MG/ML Cartridge Box of 3,OMOP5123186,Quant Clinical Box,RxNorm Extension,Drug,0
